5/11 12:24:47.240  ---- Startup ----
5/11 12:25:03.158  ---- ClientAvailableHotfixes ----
5/11 12:25:03.158  ---- UserClientHotfixRequest ----
5/11 12:25:03.274  ---- ApplyingHotfixes from Cache ----
5/11 12:25:03.274  ---- ApplyingHotfixes from Server ----
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16735 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16736 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16737 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16738 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16739 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16740 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16741 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16746 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16747 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16748 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16749 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16750 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16751 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16753 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16754 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16758 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16760 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16763 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16766 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16768 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16770 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16773 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16774 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16775 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16776 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16777 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16779 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16780 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16781 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16783 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16784 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16785 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16786 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16787 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16788 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16799 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16800 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16803 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16805 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16806 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16807 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16808 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16810 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16811 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16812 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16815 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16817 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16818 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16821 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16822 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16823 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16824 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16825 valid
