9/17 01:16:54.800  ---- Startup ----
9/17 01:17:06.469  ---- ClientAvailableHotfixes ----
9/17 01:17:06.469  ---- UserClientHotfixRequest ----
9/17 01:17:06.469  ---- ApplyingHotfixes from Cache ----
9/17 01:17:06.469  	70137 Table SpellCategories RecID 144809 VALIDATION_RESULT_VALID
9/17 01:17:06.469  	70137 Table SpellCategories RecID 144810 VALIDATION_RESULT_VALID
9/17 01:17:06.469  	70137 Table SpellCategories RecID 144811 VALIDATION_RESULT_VALID
9/17 01:17:06.469  	70137 Table SpellCategories RecID 144812 VALIDATION_RESULT_VALID
9/17 01:17:06.469  	70137 Table SpellEffect RecID 966144 VALIDATION_RESULT_VALID
9/17 01:17:06.469  	70137 Table SpellEffect RecID 966218 VALIDATION_RESULT_VALID
9/17 01:17:06.469  	70137 Table SpellEffect RecID 966290 VALIDATION_RESULT_VALID
9/17 01:17:06.469  	70137 Table SpellEffect RecID 972240 VALIDATION_RESULT_VALID
9/17 01:17:06.469  	70137 Table SpellEffect RecID 976668 VALIDATION_RESULT_VALID
9/17 01:17:06.469  	70137 Table SpellEquippedItems RecID 240331 VALIDATION_RESULT_DELETE
9/17 01:17:06.469  	70137 Table SpellEquippedItems RecID 240388 VALIDATION_RESULT_DELETE
9/17 01:17:06.469  	70137 Table SpellEquippedItems RecID 240443 VALIDATION_RESULT_DELETE
9/17 01:17:06.469  	70137 Table SpellEquippedItems RecID 244869 VALIDATION_RESULT_DELETE
9/17 01:17:06.469  	70137 Table SpellEquippedItems RecID 248093 VALIDATION_RESULT_DELETE
9/17 01:17:06.469  	70137 Table SpellMisc RecID 611408 VALIDATION_RESULT_DELETE
9/17 01:17:06.469  	70137 Table SpellMisc RecID 611465 VALIDATION_RESULT_DELETE
9/17 01:17:06.469  	70137 Table SpellMisc RecID 611520 VALIDATION_RESULT_DELETE
9/17 01:17:06.469  	70137 Table SpellMisc RecID 615948 VALIDATION_RESULT_DELETE
9/17 01:17:06.469  	70137 Table SpellMisc RecID 619172 VALIDATION_RESULT_DELETE
9/17 01:17:06.469  	70137 Table SpellPower RecID 246077 VALIDATION_RESULT_DELETE
9/17 01:17:06.469  	70137 Table SpellPowerDifficulty RecID 246077 VALIDATION_RESULT_DELETE
9/17 01:17:06.469  	70137 Table SpellPower RecID 246134 VALIDATION_RESULT_DELETE
9/17 01:17:06.469  	70137 Table SpellPowerDifficulty RecID 246134 VALIDATION_RESULT_DELETE
9/17 01:17:06.469  	70137 Table SpellPower RecID 246189 VALIDATION_RESULT_DELETE
9/17 01:17:06.469  	70137 Table SpellPowerDifficulty RecID 246189 VALIDATION_RESULT_DELETE
9/17 01:17:06.469  	70137 Table SpellPower RecID 250614 VALIDATION_RESULT_DELETE
9/17 01:17:06.469  	70137 Table SpellPowerDifficulty RecID 250614 VALIDATION_RESULT_DELETE
9/17 01:17:06.469  	70137 Table SpellPower RecID 253838 VALIDATION_RESULT_DELETE
9/17 01:17:06.469  	70137 Table SpellPowerDifficulty RecID 253838 VALIDATION_RESULT_DELETE
9/17 01:17:06.469  	70140 Table SpellEffect RecID 961687 VALIDATION_RESULT_INVALID
9/17 01:17:06.469  	70140 Table SpellEffect RecID 961688 VALIDATION_RESULT_INVALID
9/17 01:17:06.469  	70140 Table SpellEffect RecID 961689 VALIDATION_RESULT_DELETE
9/17 01:17:06.469  	70140 Table SpellEffect RecID 964083 VALIDATION_RESULT_VALID
9/17 01:17:06.469  	70140 Table SpellEffect RecID 964084 VALIDATION_RESULT_VALID
9/17 01:17:06.469  	70140 Table SpellEffect RecID 964085 VALIDATION_RESULT_DELETE
9/17 01:17:06.469  	70140 Table WorldStateExpression RecID 37940 VALIDATION_RESULT_DELETE
9/17 01:17:06.469  	70140 Table WorldStateExpression RecID 37941 VALIDATION_RESULT_DELETE
9/17 01:17:06.469  	70148 Table CameraEffect RecID 1143 VALIDATION_RESULT_VALID
9/17 01:17:06.469  	70148 Table CameraEffectEntry RecID 1518 VALIDATION_RESULT_VALID
9/17 01:17:06.469  	70148 Table Criteria RecID 52886 VALIDATION_RESULT_VALID
9/17 01:17:06.469  	70148 Table Criteria RecID 52893 VALIDATION_RESULT_VALID
9/17 01:17:06.469  	70148 Table Criteria RecID 52894 VALIDATION_RESULT_VALID
9/17 01:17:06.469  	70148 Table Criteria RecID 52895 VALIDATION_RESULT_VALID
9/17 01:17:06.469  	70148 Table Criteria RecID 52897 VALIDATION_RESULT_VALID
9/17 01:17:06.469  	70148 Table Criteria RecID 53412 VALIDATION_RESULT_VALID
9/17 01:17:06.469  	70148 Table Criteria RecID 55372 VALIDATION_RESULT_DELETE
9/17 01:17:06.469  	70148 Table CriteriaTree RecID 94292 VALIDATION_RESULT_VALID
9/17 01:17:06.469  	70148 Table CriteriaTree RecID 94295 VALIDATION_RESULT_VALID
9/17 01:17:06.469  	70148 Table CriteriaTree RecID 94307 VALIDATION_RESULT_VALID
9/17 01:17:06.469  	70148 Table CriteriaTree RecID 94308 VALIDATION_RESULT_VALID
9/17 01:17:06.469  	70148 Table CriteriaTree RecID 94311 VALIDATION_RESULT_VALID
9/17 01:17:06.469  	70148 Table CriteriaTree RecID 94312 VALIDATION_RESULT_VALID
9/17 01:17:06.469  	70148 Table CriteriaTree RecID 94313 VALIDATION_RESULT_VALID
9/17 01:17:06.469  	70148 Table CriteriaTree RecID 94314 VALIDATION_RESULT_VALID
9/17 01:17:06.469  	70148 Table CriteriaTree RecID 94315 VALIDATION_RESULT_VALID
9/17 01:17:06.469  	70148 Table CriteriaTree RecID 94316 VALIDATION_RESULT_VALID
9/17 01:17:06.469  	70148 Table CriteriaTree RecID 95610 VALIDATION_RESULT_VALID
9/17 01:17:06.469  	70148 Table CriteriaTree RecID 95611 VALIDATION_RESULT_VALID
9/17 01:17:06.469  	70148 Table CriteriaTree RecID 138533 VALIDATION_RESULT_DELETE
9/17 01:17:06.469  	70148 Table CriteriaTree RecID 138534 VALIDATION_RESULT_DELETE
9/17 01:17:06.469  	70148 Table CriteriaTree RecID 138537 VALIDATION_RESULT_DELETE
9/17 01:17:06.469  	70148 Table ItemAppearance RecID 69375 VALIDATION_RESULT_VALID
9/17 01:17:06.469  	70148 Table ItemEffect RecID 147886 VALIDATION_RESULT_VALID
9/17 01:17:06.469  	70148 Table ItemModifiedAppearance RecID 169660 VALIDATION_RESULT_VALID
9/17 01:17:06.469  	70148 Table ItemModifiedAppearanceExtra RecID 169660 VALIDATION_RESULT_DELETE
9/17 01:17:06.469  	70148 Table ModifierTree RecID 183063 VALIDATION_RESULT_VALID
9/17 01:17:06.469  	70148 Table ModifierTree RecID 183064 VALIDATION_RESULT_VALID
9/17 01:17:06.469  	70148 Table Spell RecID 364487 VALIDATION_RESULT_VALID
9/17 01:17:06.469  	70148 Table SpellName RecID 364487 VALIDATION_RESULT_VALID
9/17 01:17:06.469  	70148 Table SpellCraftUI RecID 364487 VALIDATION_RESULT_VALID
9/17 01:17:06.469  	70148 Table Spell RecID 372857 VALIDATION_RESULT_INVALID
9/17 01:17:06.469  	70148 Table SpellName RecID 372857 VALIDATION_RESULT_INVALID
9/17 01:17:06.469  	70148 Table SpellCraftUI RecID 372857 VALIDATION_RESULT_VALID
9/17 01:17:06.469  	70148 Table SpellEffect RecID 903867 VALIDATION_RESULT_VALID
9/17 01:17:06.469  	70148 Table SpellEffect RecID 904252 VALIDATION_RESULT_VALID
9/17 01:17:06.469  	70148 Table SpellEffect RecID 904253 VALIDATION_RESULT_VALID
9/17 01:17:06.469  	70148 Table SpellEffect RecID 904254 VALIDATION_RESULT_VALID
9/17 01:17:06.469  	70148 Table SpellEffect RecID 904526 VALIDATION_RESULT_VALID
9/17 01:17:06.469  	70148 Table SpellEffect RecID 997707 VALIDATION_RESULT_INVALID
9/17 01:17:06.469  	70148 Table SpellMisc RecID 478750 VALIDATION_RESULT_VALID
9/17 01:17:06.469  	70148 Table SpellMisc RecID 479013 VALIDATION_RESULT_VALID
9/17 01:17:06.469  	70148 Table SpellMisc RecID 479014 VALIDATION_RESULT_VALID
9/17 01:17:06.469  	70148 Table SpellMisc RecID 479015 VALIDATION_RESULT_VALID
9/17 01:17:06.469  	70148 Table SpellMisc RecID 479165 VALIDATION_RESULT_VALID
9/17 01:17:06.469  	70148 Table SpellMisc RecID 631583 VALIDATION_RESULT_INVALID
9/17 01:17:06.469  	70148 Table SpellTargetRestrictions RecID 276084 VALIDATION_RESULT_INVALID
9/17 01:17:06.469  	70148 Table SpellTargetRestrictions RecID 276127 VALIDATION_RESULT_INVALID
9/17 01:17:06.469  	70148 Table SpellTargetRestrictions RecID 276128 VALIDATION_RESULT_INVALID
9/17 01:17:06.469  	70148 Table SpellTargetRestrictions RecID 276129 VALIDATION_RESULT_INVALID
9/17 01:17:06.469  	70148 Table SpellVisual RecID 112624 VALIDATION_RESULT_VALID
9/17 01:17:06.469  	70148 Table SpellVisualEvent RecID 289598 VALIDATION_RESULT_VALID
9/17 01:17:06.469  	70148 Table SpellVisualEvent RecID 289619 VALIDATION_RESULT_VALID
9/17 01:17:06.469  	70148 Table SpellVisualEvent RecID 289685 VALIDATION_RESULT_VALID
9/17 01:17:06.469  	70148 Table SpellVisualKit RecID 152964 VALIDATION_RESULT_VALID
9/17 01:17:06.469  	70148 Table SpellVisualKit RecID 153101 VALIDATION_RESULT_VALID
9/17 01:17:06.469  	70148 Table SpellVisualKit RecID 153145 VALIDATION_RESULT_VALID
9/17 01:17:06.469  	70148 Table SpellVisualKitEffect RecID 402583 VALIDATION_RESULT_VALID
9/17 01:17:06.469  	70148 Table SpellVisualKitEffect RecID 402584 VALIDATION_RESULT_VALID
9/17 01:17:06.469  	70148 Table SpellVisualKitEffect RecID 402591 VALIDATION_RESULT_VALID
9/17 01:17:06.469  	70148 Table SpellVisualKitEffect RecID 402592 VALIDATION_RESULT_VALID
9/17 01:17:06.469  	70148 Table SpellVisualKitEffect RecID 402707 VALIDATION_RESULT_VALID
9/17 01:17:06.469  	70148 Table SpellVisualKitModelAttach RecID 451976 VALIDATION_RESULT_VALID
9/17 01:17:06.469  	70148 Table SpellVisualKitModelAttach RecID 451977 VALIDATION_RESULT_VALID
9/17 01:17:06.469  	70148 Table SpellVisualKitModelAttach RecID 452058 VALIDATION_RESULT_VALID
9/17 01:17:06.469  	70148 Table WorldStateExpression RecID 36498 VALIDATION_RESULT_VALID
9/17 01:17:06.469  	70151 Table CreatureDifficulty RecID 30739 VALIDATION_RESULT_INVALID
9/17 01:17:06.469  	70151 Table CreatureDifficulty RecID 30740 VALIDATION_RESULT_INVALID
9/17 01:17:06.469  	70151 Table Spell RecID 391294 VALIDATION_RESULT_INVALID
9/17 01:17:06.469  	70151 Table SpellName RecID 391294 VALIDATION_RESULT_INVALID
9/17 01:17:06.469  	70151 Table SpellCraftUI RecID 391294 VALIDATION_RESULT_VALID
